assetid,driverid,drivername,tripid,seq,lat,long,time,distance,speed,deviation
bestasset,bestdriverid,bestdrivername,besttrip,1,22.81229,86.10685,0,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,2,22.80855,86.14747,8.368439076,4.184219538,30,0
bestasset,bestdriverid,bestdrivername,besttrip,3,22.81999,86.18982,17.41495421,4.523257565,30,0
bestasset,bestdriverid,bestdrivername,besttrip,4,22.81412,86.20264,20.34927259,1.46715919,30,0
bestasset,bestdriverid,bestdrivername,besttrip,5,22.81409,86.20266,20.35710332,0.003915365,30,0
bestasset,bestdriverid,bestdrivername,besttrip,6,22.81411,86.20265,20.36200078,0.002448731,30,0
bestasset,bestdriverid,bestdrivername,besttrip,7,22.81409,86.20268,20.36959041,0.003794817,30,0
bestasset,bestdriverid,bestdrivername,besttrip,8,22.81648,86.20879,21.73019267,0.680301128,30,0
bestasset,bestdriverid,bestdrivername,besttrip,9,22.83493,86.2281,27.43121481,2.850511073,30,0
bestasset,bestdriverid,bestdrivername,besttrip,10,22.83393,86.23058,27.98603983,0.277412506,30,0
bestasset,bestdriverid,bestdrivername,besttrip,11,22.83394,86.23058,27.98826373,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,12,22.83394,86.23058,27.98826373,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,13,22.83391,86.23057,27.99524317,0.003489721,30,0
bestasset,bestdriverid,bestdrivername,besttrip,14,22.83391,86.2306,28.00139204,0.003074434,30,0
bestasset,bestdriverid,bestdrivername,besttrip,15,22.8339,86.23059,28.00441639,0.001512175,30,0
bestasset,bestdriverid,bestdrivername,besttrip,16,22.8339,86.23059,28.00441639,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,17,22.83393,86.23058,28.01139583,0.003489721,30,0
bestasset,bestdriverid,bestdrivername,besttrip,18,22.83391,86.23059,28.01629316,0.002448668,30,0
bestasset,bestdriverid,bestdrivername,besttrip,19,22.83391,86.23057,28.02039241,0.002049623,30,0
bestasset,bestdriverid,bestdrivername,besttrip,20,22.83389,86.23058,28.02528975,0.002448668,30,0
bestasset,bestdriverid,bestdrivername,besttrip,21,22.8339,86.23059,28.0283141,0.001512175,30,0
bestasset,bestdriverid,bestdrivername,besttrip,22,22.83617,86.23088,28.53662689,0.254156396,30,0
bestasset,bestdriverid,bestdrivername,besttrip,23,22.83402,86.24311,31.08848775,1.275930431,30,0
bestasset,bestdriverid,bestdrivername,besttrip,24,22.83393,86.24321,31.1171356,0.014323928,30,0
bestasset,bestdriverid,bestdrivername,besttrip,25,22.82608,86.26404,35.72974879,2.306306593,30,0
bestasset,bestdriverid,bestdrivername,besttrip,26,22.80542,86.30729,45.71536748,4.992809346,30,0
bestasset,bestdriverid,bestdrivername,besttrip,27,22.76877,86.33999,56.26920645,5.276919484,30,0
bestasset,bestdriverid,bestdrivername,besttrip,28,22.73575,86.37028,65.88760828,4.809200915,30,0
bestasset,bestdriverid,bestdrivername,besttrip,29,22.70373,86.38952,74.02915081,4.070771266,30,0
bestasset,bestdriverid,bestdrivername,besttrip,30,22.66173,86.40218,83.72403855,4.847443867,30,0
bestasset,bestdriverid,bestdrivername,besttrip,31,22.63376,86.43855,93.44063966,4.858300556,30,0
bestasset,bestdriverid,bestdrivername,besttrip,32,22.60651,86.4688,102.1174409,4.338400619,30,0
bestasset,bestdriverid,bestdrivername,besttrip,33,22.58057,86.49588,110.1295657,4.006062423,30,0
bestasset,bestdriverid,bestdrivername,besttrip,34,22.5559,86.51655,117.0663153,3.46837476,30,0
bestasset,bestdriverid,bestdrivername,besttrip,35,22.5311,86.54086,124.5060959,3.719890332,30,0
bestasset,bestdriverid,bestdrivername,besttrip,36,22.50864,86.55479,130.2626586,2.87828133,30,0
bestasset,bestdriverid,bestdrivername,besttrip,37,22.50865,86.5548,130.2656862,0.001513825,30,0
bestasset,bestdriverid,bestdrivername,besttrip,38,22.49439,86.56315,133.871276,1.802794858,30,0
bestasset,bestdriverid,bestdrivername,besttrip,39,22.46349,86.58688,142.2974957,4.213109852,30,0
bestasset,bestdriverid,bestdrivername,besttrip,40,22.45716,86.58847,143.7426554,0.722579866,30,0
bestasset,bestdriverid,bestdrivername,besttrip,41,22.45718,86.58844,143.750258,0.0038013,30,0
bestasset,bestdriverid,bestdrivername,besttrip,42,22.45718,86.58848,143.758479,0.004110505,30,0
bestasset,bestdriverid,bestdrivername,besttrip,43,22.45002,86.59432,145.7525149,0.997017929,30,0
bestasset,bestdriverid,bestdrivername,besttrip,44,22.43243,86.61218,151.1171692,2.682327172,30,0
bestasset,bestdriverid,bestdrivername,besttrip,45,22.40473,86.63087,158.3774516,3.630141214,30,0
bestasset,bestdriverid,bestdrivername,besttrip,46,22.37585,86.65733,166.7948537,4.208701058,30,0
bestasset,bestdriverid,bestdrivername,besttrip,47,22.34085,86.68646,176.6172718,4.911209032,30,0
bestasset,bestdriverid,bestdrivername,besttrip,48,22.29836,86.70452,186.7708428,5.076785471,30,0
bestasset,bestdriverid,bestdrivername,besttrip,49,22.29074,86.71065,188.8833529,1.056255085,30,0
bestasset,bestdriverid,bestdrivername,besttrip,50,22.27935,86.72213,192.3470077,1.731827393,30,0
bestasset,bestdriverid,bestdrivername,besttrip,51,22.25532,86.72154,197.6924226,2.672707435,30,0
bestasset,bestdriverid,bestdrivername,besttrip,52,22.23844,86.72012,201.4577302,1.882653804,30,0
bestasset,bestdriverid,bestdrivername,besttrip,53,22.22214,86.71493,205.2368624,1.88956609,30,0
bestasset,bestdriverid,bestdrivername,besttrip,54,22.21079,86.71301,207.7917554,1.277446494,30,0
bestasset,bestdriverid,bestdrivername,besttrip,55,22.21079,86.71299,207.7958731,0.002058887,30,0
bestasset,bestdriverid,bestdrivername,besttrip,56,22.21079,86.713,207.797932,0.001029443,30,0
bestasset,bestdriverid,bestdrivername,besttrip,57,22.20873,86.71261,208.2630395,0.232553751,30,0
bestasset,bestdriverid,bestdrivername,besttrip,58,22.20873,86.71261,208.2630395,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,59,22.20872,86.71262,208.2660702,0.001515328,30,0
bestasset,bestdriverid,bestdrivername,besttrip,60,22.20873,86.71261,208.2691008,0.001515328,30,0
bestasset,bestdriverid,bestdrivername,besttrip,61,22.20873,86.71261,208.2691008,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,62,22.20874,86.71263,208.2737808,0.002339994,30,0
bestasset,bestdriverid,bestdrivername,besttrip,63,22.20873,86.71262,208.2768115,0.001515328,30,0
bestasset,bestdriverid,bestdrivername,besttrip,64,22.20871,86.71261,208.2817127,0.002450617,30,0
bestasset,bestdriverid,bestdrivername,besttrip,65,22.20871,86.7126,208.2837716,0.001029459,30,0
bestasset,bestdriverid,bestdrivername,besttrip,66,22.20872,86.71261,208.2868023,0.001515328,30,0
bestasset,bestdriverid,bestdrivername,besttrip,67,22.20871,86.7126,208.2898329,0.001515328,30,0
bestasset,bestdriverid,bestdrivername,besttrip,68,22.20873,86.71262,208.2958943,0.003030656,30,0
bestasset,bestdriverid,bestdrivername,besttrip,69,22.20872,86.71262,208.2981182,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,70,22.20873,86.71262,208.3003421,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,71,22.20872,86.71262,208.302566,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,72,22.20872,86.71262,208.302566,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,73,22.20872,86.71261,208.3046249,0.001029459,30,0
bestasset,bestdriverid,bestdrivername,besttrip,74,22.20871,86.71261,208.3068488,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,75,22.20873,86.71262,208.31175,0.002450617,30,0
bestasset,bestdriverid,bestdrivername,besttrip,76,22.20872,86.71264,208.31643,0.002339994,30,0
bestasset,bestdriverid,bestdrivername,besttrip,77,22.20872,86.71262,208.3205478,0.002058917,30,0
bestasset,bestdriverid,bestdrivername,besttrip,78,22.20873,86.71262,208.3227717,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,79,22.20873,86.71263,208.3248307,0.001029459,30,0
bestasset,bestdriverid,bestdrivername,besttrip,80,22.20872,86.71263,208.3270546,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,81,22.20872,86.71263,208.3270546,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,82,22.2087,86.71266,208.3346661,0.003805759,30,0
bestasset,bestdriverid,bestdrivername,besttrip,83,22.20872,86.71266,208.3391139,0.002223902,30,0
bestasset,bestdriverid,bestdrivername,besttrip,84,22.19241,86.7045,212.3365437,1.998714899,30,0
bestasset,bestdriverid,bestdrivername,besttrip,85,22.18815,86.67945,217.5810865,2.622271434,30,0
bestasset,bestdriverid,bestdrivername,besttrip,86,22.18382,86.65536,222.634418,2.526665745,30,0
bestasset,bestdriverid,bestdrivername,besttrip,87,22.15159,86.64553,230.0824793,3.724030623,30,0
bestasset,bestdriverid,bestdrivername,besttrip,88,22.08987,86.6417,243.8310615,6.874291106,30,0
bestasset,bestdriverid,bestdrivername,besttrip,89,22.03931,86.66735,256.2558744,6.212406437,30,0
bestasset,bestdriverid,bestdrivername,besttrip,90,21.99488,86.70009,268.2222202,5.983172922,30,0
bestasset,bestdriverid,bestdrivername,besttrip,91,21.96537,86.73713,278.2928478,5.035313775,30,0
bestasset,bestdriverid,bestdrivername,besttrip,92,21.91833,86.74646,288.9296467,5.318399451,30,0
bestasset,bestdriverid,bestdrivername,besttrip,93,21.87951,86.77483,299.3604047,5.215378996,30,0
bestasset,bestdriverid,bestdrivername,besttrip,94,21.84496,86.80315,309.0145796,4.827087475,30,0
bestasset,bestdriverid,bestdrivername,besttrip,95,21.80509,86.83589,320.1637822,5.574601293,30,0
bestasset,bestdriverid,bestdrivername,besttrip,96,21.80518,86.8358,320.191094,0.013655913,30,0
bestasset,bestdriverid,bestdrivername,besttrip,97,21.80518,86.83581,320.1931588,0.001032393,30,0
bestasset,bestdriverid,bestdrivername,besttrip,98,21.80517,86.83583,320.1978491,0.002345161,30,0
bestasset,bestdriverid,bestdrivername,besttrip,99,21.80519,86.83581,320.2039184,0.003034647,30,0
bestasset,bestdriverid,bestdrivername,besttrip,100,21.80518,86.83583,320.2086087,0.00234516,30,0
bestasset,bestdriverid,bestdrivername,besttrip,101,21.80518,86.83586,320.2148031,0.00309718,30,0
bestasset,bestdriverid,bestdrivername,besttrip,102,21.7891,86.84213,324.0179925,1.901594695,30,0
bestasset,bestdriverid,bestdrivername,besttrip,103,21.73377,86.85338,336.540307,6.261157253,30,0
bestasset,bestdriverid,bestdrivername,besttrip,104,21.69023,86.88255,347.9456286,5.702660785,30,0
bestasset,bestdriverid,bestdrivername,besttrip,105,21.64714,86.91272,359.3784702,5.716420809,30,0
bestasset,bestdriverid,bestdrivername,besttrip,106,21.61178,86.92765,367.8262199,4.223874883,30,0
bestasset,bestdriverid,bestdrivername,besttrip,107,21.61177,86.92764,367.8292565,0.001518268,30,0
bestasset,bestdriverid,bestdrivername,besttrip,108,21.61177,86.92763,367.831324,0.001033782,30,0
bestasset,bestdriverid,bestdrivername,besttrip,109,21.61174,86.92764,367.8383088,0.003492365,30,0
bestasset,bestdriverid,bestdrivername,besttrip,110,21.61173,86.92765,367.8413453,0.001518269,30,0
bestasset,bestdriverid,bestdrivername,besttrip,111,21.61172,86.92765,367.8435692,0.001111951,30,0
bestasset,bestdriverid,bestdrivername,besttrip,112,21.6067,86.92776,368.9601995,0.558315126,30,0
bestasset,bestdriverid,bestdrivername,besttrip,113,21.56451,86.92777,378.3428406,4.691320549,30,0
bestasset,bestdriverid,bestdrivername,besttrip,114,21.54224,86.90544,385.1149305,3.386044982,30,0
bestasset,bestdriverid,bestdrivername,besttrip,115,21.49201,86.88892,396.7967651,5.840917263,30,0
bestasset,bestdriverid,bestdrivername,besttrip,116,21.43972,86.8485,411.1219194,7.162577176,30,0
bestasset,bestdriverid,bestdrivername,besttrip,117,21.40934,86.81121,421.3807213,5.129400957,30,0
bestasset,bestdriverid,bestdrivername,besttrip,118,21.35274,86.77816,435.708386,7.163832357,30,0
bestasset,bestdriverid,bestdrivername,besttrip,119,21.3139,86.71974,450.5765627,7.434088335,30,0
bestasset,bestdriverid,bestdrivername,besttrip,120,21.2727,86.66545,465.0851354,7.254286342,30,0
bestasset,bestdriverid,bestdrivername,besttrip,121,21.211,86.65248,479.0674988,6.991181714,30,0
bestasset,bestdriverid,bestdrivername,besttrip,122,21.1912,86.61796,487.4708537,4.201677443,30,0
bestasset,bestdriverid,bestdrivername,besttrip,123,21.1912,86.61796,487.4708537,0,30,0
bestasset,bestdriverid,bestdrivername,besttrip,124,21.16843,86.575,497.7180081,5.123577208,30,0
bestasset,bestdriverid,bestdrivername,besttrip,125,21.11198,86.53967,512.254327,7.268159448,30,0
bestasset,bestdriverid,bestdrivername,besttrip,126,21.06852,86.49608,525.4913616,6.618517316,30,0
bestasset,bestdriverid,bestdrivername,besttrip,127,21.0183,86.45241,539.8750876,7.19186299,30,0
bestasset,bestdriverid,bestdrivername,besttrip,128,20.97688,86.40182,553.8456252,6.985268807,30,0
bestasset,bestdriverid,bestdrivername,besttrip,129,20.94941,86.3399,568.0819549,7.118164816,30,0
bestasset,bestdriverid,bestdrivername,besttrip,130,20.93402,86.2782,581.3462196,6.632132372,30,0
bestasset,bestdriverid,bestdrivername,besttrip,131,20.90343,86.22052,595.1247339,6.889257142,30,0
bestasset,bestdriverid,bestdrivername,besttrip,132,20.86702,86.19953,604.3217832,4.598524647,30,0
bestasset,bestdriverid,bestdrivername,besttrip,133,20.81339,86.18915,616.4421171,6.060166947,30,0
bestasset,bestdriverid,bestdrivername,besttrip,134,20.77734,86.15102,627.7167491,5.637316003,30,0
bestasset,bestdriverid,bestdrivername,besttrip,135,20.71613,86.13615,641.676111,6.979680958,30,0
bestasset,bestdriverid,bestdrivername,besttrip,136,20.66983,86.12793,652.1138211,5.218855028,30,0
bestasset,bestdriverid,bestdrivername,besttrip,137,20.62771,86.08352,665.2726412,6.57941008,30,0
bestasset,bestdriverid,bestdrivername,besttrip,138,20.59093,86.0447,676.7705455,5.748952123,30,0
bestasset,bestdriverid,bestdrivername,besttrip,139,20.56023,86.0006,688.212498,5.720976256,30,0
bestasset,bestdriverid,bestdrivername,besttrip,140,20.56022,86.00059,688.2155445,0.001523277,30,0
bestasset,bestdriverid,bestdrivername,besttrip,141,20.54548,85.97794,693.9593255,2.871890506,30,0
bestasset,bestdriverid,bestdrivername,besttrip,142,20.54549,85.97796,693.964047,0.002360725,30,0
bestasset,bestdriverid,bestdrivername,besttrip,143,20.54386,85.97248,695.1614242,0.598688599,30,0
bestasset,bestdriverid,bestdrivername,besttrip,144,20.5275,85.94592,701.7820683,3.310322042,30,0
bestasset,bestdriverid,bestdrivername,besttrip,145,20.48948,85.91774,712.0750611,5.14649641,30,0
bestasset,bestdriverid,bestdrivername,besttrip,146,20.45021,85.89868,721.6687851,4.796862002,30,0
bestasset,bestdriverid,bestdrivername,besttrip,147,20.41084,85.87994,731.2558183,4.793516594,30,0
bestasset,bestdriverid,bestdrivername,besttrip,148,20.35475,85.88925,743.8797656,6.311973653,30,0
